y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.8116,-6.860120914,47.06125895,-322.8459268,2214.762094,-15193.53576,104229.4924,-715026.921,4905171.135,-33650067.09,230843529
0.9072,-4.324130045,18.69810065,-80.85301879,349.6189678,-1511.797883,6537.210647,-28267.74897,122233.4226,-528553.2153,2285532.839
0.9052,-4.358625055,18.99761237,-82.80346926,360.9092758,-1573.068212,6856.414522,-29884.54012,130255.5053,-567734.9091,2474543.599
0.9039,-4.358426747,18.99588371,-82.79216764,360.8435979,-1572.710389,6854.543023,-29875.02365,130208.1021,-567502.475,2473417.966
0.8053,-6.955852379,48.38388232,-336.5511429,2341.000068,-16283.65089,113266.6718,-787866.2486,5480281.319,-38120027.85,265157286.4
0.8377,-6.661145254,44.37085609,-295.5607175,1968.772871,-13114.28206,87356.13772,-581891.9222,3876066.616,-25819042.74,171984394
0.8667,-6.355462942,40.39190921,-256.7092821,1631.506329,-10368.97802,65899.65553,-418822.8186,2661812.903,-16917053.26,107515705.1
0.8809,-6.118102026,37.4311724,-229.0077317,1401.092667,-8572.027886,52444.54118,-320861.0536,1963060.662,-12010205.42,73479662.08
0.7975,-7.115148017,50.6253313,-360.2067256,2562.92417,-18235.58482,129748.8852,-923182.5232,6568580.299,-46736421.09,332536553.8
0.8162,-6.815308569,46.44843089,-316.5603891,2157.456732,-14703.73335,100210.4799,-682965.3425,4654619.551,-31722668.51,216199774.6
0.8515,-6.519993057,42.51030946,-277.1669226,1807.126411,-11782.45165,76821.50296,-500875.6659,3265705.864,-21292379.56,138826166.9
0.8766,-6.204119983,38.49110476,-238.8034322,1481.565146,-9191.807928,57027.07925,-353802.8419,2195035.282,-13618262.25,84489332.98
0.8885,-5.853871964,34.26781697,-200.599413,1174.28328,-6874.10397,40240.12451,-235560.5367,1378941.222,-8072145.357,47253305.39
0.8859,-6.109523091,37.3262724,-228.0457231,1393.250611,-8512.096781,52004.85184,-317724.8431,1941147.266,-11859484.04,72455791.61
0.8959,-5.79832982,33.6206287,-194.943494,1130.346674,-6554.122828,38002.96584,-220353.7301,1277683.604,-7408430.942,42956526.05
0.8913,-5.482672118,30.05969355,-164.8074437,903.5851765,-4954.061254,27161.49351,-148917.5631,816466.1712,-4476416.312,24542722.9
0.8959,-5.171791386,26.74742614,-138.3321081,715.4248051,-3700.027845,19135.77213,-98966.22149,511832.6518,-2647091.7,13690206.05
0.8971,-4.851705903,23.53905017,-114.2045487,554.0868829,-2688.2666,13042.67893,-63279.24237,307012.2738,-1489533.261,7226777.315
0.9021,-4.517126416,20.40443106,-92.16939454,416.3408068,-1880.664056,8495.197289,-38373.88008,173339.6674,-782997.1906,3536897.293
0.909,-4.143573228,17.1691991,-71.14183372,294.7813976,-1221.448307,5061.160505,-20971.28917,86896.07237,-360060.2391,1491935.967
0.9139,-3.709075441,13.75724063,-51.02664335,189.2616697,-701.9858109,2603.718331,-9657.387717,35819.97961,-132859.0067,492784.0787
0.9199,-3.499489089,12.24642388,-42.85622676,149.9748979,-524.835519,1836.656172,-6427.358235,22492.47001,-78712.1534,275452.322
0.8692,-6.300769497,39.69969625,-250.1386352,1576.065883,-9930.427839,62569.33682,-394234.9689,2483983.667,-15651008.52,98613397.06
0.8872,-5.953504836,35.44421983,-211.0173342,1256.29272,-7479.344781,44528.31532,-265099.5406,1578271.397,-9396246.395,55940598.35
0.89,-5.642065153,31.83289919,-179.6032912,1013.333471,-5717.293464,32257.34223,-181998.0265,1026844.723,-5793524.83,32687444.56
0.891,-5.031376979,25.3147543,-127.368072,640.8367855,-3224.29145,16222.62577,-81622.14586,410671.7857,-2066244.568,10396055.35
0.8977,-4.680685696,21.90881858,-102.5482938,479.9963318,-2246.711964,10516.15255,-49222.80484,230396.4785,-1078413.501,5047714.65
0.9035,-4.329846955,18.74757465,-81.17412903,351.4715554,-1521.818044,6589.239223,-28530.39739,123532.2543,-534875.7549,2315930.159
0.9078,-3.928486195,15.43300378,-60.62834231,238.1776058,-935.6774364,3675.795892,-14440.31342,56728.57191,-222857.4116,875492.2649
0.7675,-8.56735134,73.39950898,-628.8393816,5387.487919,-46156.50184,395438.9679,-3387864.572,29025026.08,-248667596.1,2130422662
0.7705,-8.363211311,69.94330343,-584.9506264,4892.065695,-40913.37915,342167.2353,-2861616.893,23932306.76,-200150938.6,1673904594
0.7713,-8.107682739,65.7345194,-532.9546283,4321.02704,-35033.51635,284040.6358,-2302911.36,18671274.68,-151380771.5,1227347268
0.7736,-7.823908741,61.21354799,-478.9292132,3747.098457,-29316.95637,229373.1912,-1794594.916,14040746.85,-109853522,859483931
0.7775,-7.522878745,56.59370461,-425.7475775,3202.847402,-24094.63264,181260.9998,-1363604.522,10258231.48,-77171431.55,580551322.1
0.7841,-7.218819279,52.11135178,-376.1824309,2715.592985,-19603.37499,141513.2213,-1021558.37,7374445.258,-53234787.6,384292311.1
0.7971,-6.920818754,47.89773223,-331.4915235,2294.192752,-15877.69223,109886.6301,-760505.4506,5263320.385,-36426486.43,252101110.4
0.8329,-6.628932138,43.94274129,-291.29345,1930.964512,-12800.23271,84851.874,-562477.3145,3728623.947,-24716795.11,163845957.5
0.8641,-6.323946875,39.99230408,-252.9092064,1599.384385,-10114.42189,63963.06668,-404499.0356,2558030.412,-16176848.43,102301530.1
0.8804,-5.991399828,35.8968719,-215.0725121,1288.585412,-7720.430417,46256.18547,-277139.3017,1660452.364,-9948434.01,59605045.82
0.7668,-8.781464495,77.11411868,-677.1748952,5946.587299,-52219.74524,458565.8387,-4026879.631,35361900.51,-310529273.8,2726901792
0.7633,-8.663140179,75.04999776,-650.168651,5632.502164,-48795.1558,422719.2748,-3662076.334,31725080.63,-274838820.7,2380967230
0.7678,-8.473531488,71.80073588,-608.4057963,5155.345673,-43683.98389,370157.613,-3136542.189,26577589,-225206037.3,1908290448
0.7697,-8.247337057,68.01856853,-560.9720608,4626.525665,-38156.51656,314689.653,-2595351.637,21404739.73,-176532103.2,1455919756
0.77,-7.971428747,63.54367627,-506.5338877,4037.798794,-32187.02538,256576.5794,-2045281.921,16303819.1,-129964732.2,1036004603
0.7749,-7.676129393,58.92296246,-452.300284,3471.915505,-26650.87266,204575.5469,-1570348.369,12054197.27,-92529577.99,710269013.4
0.7796,-7.352812702,54.06385463,-397.521397,2922.900378,-21491.53902,158023.2611,-1161915.442,8543346.617,-62817627.52,461886249.6
0.7897,-7.072065318,50.01410786,-353.7030376,2501.410985,-17690.14187,125105.8388,-884756.6638,6257056.917,-44250315.22,312941119.5
0.8131,-6.774174009,45.8894335,-310.8630077,2105.840107,-14265.32732,96635.80958,-654627.7896,4434562.558,-30040498.42,203499563.6
0.8498,-6.478861916,41.97565173,-271.9544514,1761.955338,-11415.46534,73959.22362,-479171.5973,3104486.613,-20113540.08,130312848.8
0.8741,-6.159517513,37.93965599,-233.6899755,1439.417497,-8866.11728,54611.00466,-336377.4396,2071922.73,-12762044.34,78608035.63
0.8061,-6.835647144,46.72607188,-319.4029398,2183.325793,-14924.44472,102018.2379,-697360.6768,4766911.519,-32584925.11,222739050.3
0.846,-6.53165267,42.6624866,-278.6565445,1820.087763,-11888.1811,77649.4698,-507179.3668,3312719.465,-21637532.94,141328849.8
0.8751,-6.224098421,38.73940115,-241.1178456,1500.741202,-9340.760944,58137.81545,-361855.4853,2252224.155,-14018064.81,87249815.02
0.8856,-5.910094889,34.9292216,-206.435014,1220.050521,-7210.614351,42615.41502,-251861.1465,1488523.275,-8797313.798,51992959.31
0.8919,-5.598599459,31.3443159,-175.4842701,982.4661394,-5500.434396,30794.72904,-172407.3533,965239.715,-5403990.546,30254778.55
0.8934,-5.290645224,27.99092689,-148.0900636,783.491988,-4145.178144,21930.66695,-116027.3784,613859.6952,-3247713.865,17182501.85
0.894,-4.974284616,24.74350744,-123.0812484,612.2411605,-3045.461786,15148.99371,-75355.40636,374839.2386,-1864557.058,9274837.489
0.8957,-4.64454848,21.57183058,-100.1914129,465.3438747,-2161.312186,10038.31923,-46623.46031,216544.9217,-1005753.387,4671270.365
0.9047,-4.290560426,18.40890877,-78.98453545,338.8879221,-1454.019107,6238.55684,-26766.90509,114845.0237,-492749.5139,2114171.564
0.9129,-3.885055584,15.09365689,-58.63969599,227.8184783,-885.0874514,3438.613945,-13359.20631,51901.25907,-201639.2764,783379.7966
0.9209,-3.408378962,11.61704715,-39.5952991,134.9557845,-459.9804565,1567.787711,-5343.614651,18213.06376,-62077.02334,211582.0204
0.9219,-3.13200249,9.809439597,-30.72318924,96.22510521,-301.3772691,943.9143574,-2956.342118,9259.270874,-29000.05943,90828.25835
0.7739,-8.726767166,76.15646517,-664.5997397,5799.807187,-50613.56693,441692.814,-3854550.347,33637763.41,-293548929.2,2561733157
0.7681,-8.66695597,75.11612579,-651.0281548,5642.432353,-48902.71277,423837.6584,-3673382.324,31837042.86,-275930248.7,2391475316
0.7665,-8.511026475,72.43757166,-616.5180902,5247.201788,-44659.07334,380094.5555,-3234994.825,27533126.6,-234335169.4,1994432831
0.7703,-8.165388579,66.67357065,-544.4156123,4445.365023,-36298.13279,296388.3589,-2420126.121,19761270.19,-161358449.9,1317554444
0.7702,-7.886056648,62.18988946,-490.4329912,3867.58235,-30499.97351,240524.5188,-1896789.981,14958193.24,-117961159.2,930248383.9
0.7761,-7.588043762,57.57840813,-436.9074807,3315.273083,-25156.43724,190888.1467,-1448467.611,10991035.62,-83400459.25,632846334.5
0.7809,-7.283412422,53.04809651,-386.3711651,2814.100543,-20496.25485,149282.6772,-1087287.306,7919161.867,-57678521.92,420096463
0.7961,-6.995678626,48.93951944,-342.3651501,2395.076563,-16755.18592,117213.896,-819990.7469,5736391.742,-40129953.1,280736255.2
0.8253,-6.691862621,44.78102534,-299.6684696,2005.34023,-13419.46133,89801.19167,-600937.2378,4021389.439,-26910585.67,180081942.4
0.8602,-6.392544977,40.86463128,-261.2289934,1669.91809,-10675.0265,68240.58702,-436231.0218,2788626.427,-17826419.86,113956190.7
0.8809,-6.067374056,36.81302794,-223.3584106,1355.199026,-8222.49941,49888.97959,-302695.1005,1836564.399,-11143123.19,67609496.54
0.8301,-6.684029655,44.67625243,-298.6173961,1995.967531,-13341.10617,89172.34926,-596030.6269,3983886.385,-26628414.74,177985113.8
0.8664,-6.378719832,40.6880667,-259.537778,1655.518771,-10560.09042,67359.85819,-429669.6633,2740742.402,-17482427.92,111515509.7
0.8834,-6.065855188,36.79459916,-223.1907102,1353.842527,-8212.212719,49814.09313,-302165.0752,1832889.589,-11118042.82,67440437.74
0.8898,-5.752272167,33.08863508,-190.3348346,1094.857772,-6297.919887,36227.34927,-208389.5729,1198713.54,-6895326.533,39663794.9
0.8964,-5.132414673,26.34168038,-135.1964269,693.884125,-3561.301065,18278.07384,-93810.65436,481475.1789,-2471130.273,12682865.27
0.8963,-4.811352704,23.14911484,-111.3785563,535.881518,-2578.314991,12405.1828,-59685.70982,287169.0013,-1381671.351,6647708.191
0.9074,-4.098269308,16.79581132,-68.83375804,282.0992779,-1156.118813,4738.086246,-19417.95344,79580.00261,-326140.2822,1336610.709
0.9119,-3.66174277,13.40836011,-49.0979657,179.7841209,-658.323205,2410.610236,-8827.034604,32322.33014,-118356.0587,433389.4422
0.9228,-3.2644011,10.65631454,-34.78648491,113.5570396,-370.695725,1210.099533,-3950.250245,12895.20125,-42095.10913,137415.3205
